AccDate,NAV_A,NAV_C,NAV_D,TotalAssetA,OutstSharesA,TotalAssetC,OutstSharesC,TotalAssetD,OutstSharesD,NewIntRateC,BTCTier12,BTCTier3,NBTTier12,NBTTier3,BTCPrice,CustodianFeeA,ManageFeeA,CustodianFeeCD,ManageFeeCD,Status
2015-03-20,1,,,9082.464,9082.464,,,,,,0,8,0,7000,260.308,0,0,,,Confirmed
2015-03-26,1.003,,,8979.09,9082.464,,,,,,20.29503,0,3871.643,0,251.66,185.282,54.495,,,Confirmed
2015-04-02,1.0157,,,14159.886,14218.235,,,,,,26.462,9,2426.7652,3000,246.267,398.984,117.349,,,Confirmed
2015-04-09,1.0551,,,18482.35,18009.345,,,,,,10.0036,0.625,11761.68,4141.8,242.635,735.989,216.468,,,Confirmed
2015-04-16,1.0444,,,13789.314,13998.272,,,,,,0.5128,-9.287,17862.442,-2088.79,226.156,1175.869,345.844,,,Confirmed
2015-04-23,1.0535,,,19665.615,18886.739,,,,,,4.1627,0,12706.1553,5980.026,235.288,328.185,96.525,,,Confirmed
2015-04-30,1.0641,,,19535.434,18886.739,,,,,,8.2805,0,13154.67,4450,233.17,796.227,234.184,,,Confirmed
2015-05-07,1.0416,,,18782.665,18886.739,,,,,,12.0631,0,10855.8597,5150,230.19,1261.17,370.932,,,Confirmed
2015-05-14,1.062,,,16836.451,16988.305,,,,,,15.7587,0,9979.5033,3133.86,236.256,1708.197,502.411,,,Confirmed
2015-05-21,1.0622,,,17747.839,16975.635,,,,,,14.0758,0,6609.376,7826.188,235.317,400.705,117.854,,,Confirmed
2015-05-28,1.0868,1.0868,1.0868,16781.288,15975.635,2000,1840.265,2000,1840.265,20,38.9521,0,2151.4187,9433.59,236.092,823.104,242.089,0,0,Confirmed
